id_partido,fecha,equipo_rival,minuto,jugador_implicado,tipo_evento,detalle_accion,fase
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Éric Abidal,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Dani Alves,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Sergio Busquets,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,José Manuel Pinto,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Javier Mascherano,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Maxwell,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,Carles Puyol,TITULAR,Alineación Inicial,Champions
312587718,"Wednesday October 20, 2010",FC Copenhagen,0,David Villa,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Dani Alves,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Samuel Eto'o,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Thierry Henry,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Andrés Iniesta,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Rafael Márquez,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Lionel Messi,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Gerard Piqué,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Sylvinho,TITULAR,Alineación Inicial,Champions
163669189,"Wednesday March 11, 2009",Lyon,0,Yaya Touré,TITULAR,Alineación Inicial,Champions
