season,player,nation,pos,age,mp,starts,min,goals,assists
2009-2010,Xavi,es ESP,MF,29.0,11,11,990,1,3
2009-2010,Bojan Krkić,es ESP,"FW,MF",18.0,5,1,114,1,0
2009-2010,Víctor Valdés,es ESP,GK,27.0,12,12,1080,0,0
2009-2010,Dani Alves,br BRA,"DF,MF",26.0,11,11,989,0,2
2009-2010,Seydou Keita,ml MLI,MF,29.0,10,9,813,0,1
2009-2010,Carles Puyol,es ESP,DF,31.0,9,9,804,0,0
2009-2010,Sergio Busquets,es ESP,MF,21.0,10,8,692,0,0
2009-2010,Éric Abidal,fr FRA,DF,29.0,8,7,620,0,1
2009-2010,Yaya Touré,ci CIV,MF,26.0,8,7,605,0,2
2009-2010,Andrés Iniesta,es ESP,MF,25.0,9,7,591,0,1
2009-2010,Maxwell,br BRA,DF,27.0,7,4,443,0,1
2009-2010,Thierry Henry,fr FRA,FW,31.0,6,3,302,0,1
2009-2010,Rafael Márquez,mx MEX,"DF,MF",30.0,4,3,231,0,0
2009-2010,Gabriel Milito,ar ARG,DF,28.0,5,2,181,0,0
2009-2010,Jeffrén Suárez,ve VEN,"FW,MF",21.0,2,0,32,0,0
2009-2010,Jonathan dos Santos,mx MEX,MF,19.0,1,0,1,0,0
2010-2011,Lionel Messi,ar ARG,"FW,MF",23.0,13,11,1046,12,3
2010-2011,Pedro,es ESP,"FW,MF",23.0,12,8,772,5,1
2010-2011,David Villa,es ESP,"FW,MF",28.0,12,12,943,4,1
2010-2011,Dani Alves,br BRA,"DF,MF",27.0,12,12,1078,2,2
2010-2011,Xavi,es ESP,MF,30.0,12,11,952,2,3
2010-2011,Gerard Piqué,es ESP,DF,23.0,12,12,1024,1,0
2010-2011,Andrés Iniesta,es ESP,MF,26.0,10,10,898,1,6
2010-2011,Seydou Keita,ml MLI,MF,30.0,10,4,425,1,0
2010-2011,Andreu Fontàs,es ESP,DF,20.0,1,1,90,1,0
2010-2011,Víctor Vázquez,es ESP,"FW,MF",23.0,1,0,77,1,0
2010-2011,Sergio Busquets,es ESP,MF,22.0,12,12,1080,0,3
2010-2011,Víctor Valdés,es ESP,GK,28.0,11,11,990,0,0
2010-2011,Javier Mascherano,ar ARG,"DF,MF",26.0,11,10,880,0,0
2010-2011,Carles Puyol,es ESP,DF,32.0,8,7,632,0,0
2010-2011,Éric Abidal,fr FRA,DF,30.0,8,6,560,0,1
2010-2011,Adriano,br BRA,"DF,MF",25.0,6,5,424,0,2
2010-2011,Maxwell,br BRA,DF,28.0,7,4,370,0,0
2010-2011,José Manuel Pinto,es ESP,GK,34.0,2,2,180,0,0
2010-2011,Ibrahim Afellay,nl NED,"FW,MF",24.0,6,1,117,0,1
2010-2011,Thiago Alcántara,es ESP,MF,19.0,1,1,90,0,1
2010-2011,Jonathan dos Santos,mx MEX,MF,20.0,1,1,63,0,0
2010-2011,Bojan Krkić,es ESP,"FW,MF",19.0,3,1,60,0,0
2010-2011,Jeffrén Suárez,ve VEN,"FW,MF",22.0,2,1,28,0,0
2010-2011,Gabriel Milito,ar ARG,DF,29.0,2,0,36,0,0
2010-2011,Sergi Roberto,es ESP,"DF,MF",18.0,1,0,1,0,0
2011-2012,Lionel Messi,ar ARG,"FW,MF",24.0,11,11,990,14,5
2011-2012,Pedro,es ESP,"FW,MF",24.0,9,5,498,4,0
2011-2012,Andrés Iniesta,es ESP,MF,27.0,8,8,572,3,1
2011-2012,David Villa,es ESP,"FW,MF",29.0,4,4,330,3,1
2011-2012,Alexis Sánchez,cl CHI,"FW,MF",22.0,6,4,356,2,0
2011-2012,Cristian Tello,es ESP,"FW,MF",19.0,3,0,85,2,0
2011-2012,Sergio Busquets,es ESP,MF,23.0,10,10,875,1,0
2011-2012,Xavi,es ESP,MF,31.0,9,9,712,1,1
2011-2012,Cesc Fàbregas,es ESP,"FW,MF",24.0,9,7,662,1,3
2011-2012,Martín Montoya,es ESP,DF,20.0,1,1,90,1,0
2011-2012,Sergi Roberto,es ESP,"DF,MF",19.0,1,1,80,1,0
2011-2012,Víctor Valdés,es ESP,GK,29.0,11,11,990,0,0
2011-2012,Javier Mascherano,ar ARG,"DF,MF",27.0,10,10,900,0,0
2011-2012,Dani Alves,br BRA,"DF,MF",28.0,10,9,854,0,3
2011-2012,Carles Puyol,es ESP,DF,33.0,9,8,743,0,0
2011-2012,Éric Abidal,fr FRA,DF,31.0,6,6,494,0,0
2011-2012,Adriano,br BRA,"DF,MF",26.0,7,5,445,0,1
2011-2012,Gerard Piqué,es ESP,DF,24.0,5,5,371,0,1
2011-2012,Seydou Keita,ml MLI,MF,31.0,9,4,432,0,1
2011-2012,Thiago Alcántara,es ESP,MF,20.0,7,4,429,0,1
2011-2012,Isaac Cuenca,es ESP,"FW,MF",20.0,7,4,347,0,4
2011-2012,Maxwell,br BRA,DF,29.0,3,1,132,0,0
2011-2012,Marc Bartra,es ESP,DF,20.0,1,1,90,0,0
2011-2012,Andreu Fontàs,es ESP,DF,21.0,1,1,90,0,0
2011-2012,José Manuel Pinto,es ESP,GK,35.0,1,1,90,0,0
2011-2012,Rafinha,br BRA,MF,18.0,1,1,71,0,0
2011-2012,Jonathan dos Santos,mx MEX,MF,21.0,2,1,59,0,0
2011-2012,Marc Muniesa,es ESP,"DF,MF",19.0,2,0,58,0,0
2011-2012,Gerard Deulofeu,es ESP,"FW,MF",17.0,1,0,19,0,0
2011-2012,Martí Riverola,es ESP,MF,20.0,1,0,10,0,0
2011-2012,Ibrahim Afellay,nl NED,"FW,MF",25.0,1,0,6,0,0
2012-2013,Lionel Messi,ar ARG,"FW,MF",25.0,11,9,826,8,2
2012-2013,Jordi Alba,es ESP,"DF,MF",23.0,9,9,808,2,0
2012-2013,Xavi,es ESP,MF,32.0,11,11,947,1,4
2012-2013,Dani Alves,br BRA,"DF,MF",29.0,10,10,874,1,1
2012-2013,Pedro,es ESP,"FW,MF",25.0,10,10,860,1,1
2012-2013,Andrés Iniesta,es ESP,MF,28.0,10,9,803,1,1
2012-2013,Cesc Fàbregas,es ESP,"FW,MF",25.0,8,6,529,1,0
2012-2013,Alexis Sánchez,cl CHI,"FW,MF",23.0,9,5,521,1,2
2012-2013,David Villa,es ESP,"FW,MF",30.0,10,5,484,1,1
2012-2013,Cristian Tello,es ESP,"FW,MF",20.0,4,2,175,1,1
2012-2013,Víctor Valdés,es ESP,GK,30.0,11,11,990,0,0
2012-2013,Sergio Busquets,es ESP,MF,24.0,8,8,718,0,0
2012-2013,Gerard Piqué,es ESP,DF,25.0,10,8,684,0,0
2012-2013,Javier Mascherano,ar ARG,"DF,MF",28.0,8,7,613,0,0
2012-2013,Adriano,br BRA,"DF,MF",27.0,6,5,404,0,1
2012-2013,Alexandre Song,cm CMR,"DF,MF",24.0,8,4,445,0,0
2012-2013,Marc Bartra,es ESP,DF,21.0,6,4,373,0,0
2012-2013,Carles Puyol,es ESP,DF,34.0,4,3,269,0,0
2012-2013,Thiago Alcántara,es ESP,MF,21.0,2,1,115,0,0
2012-2013,Martín Montoya,es ESP,DF,21.0,3,1,95,0,0
2012-2013,José Manuel Pinto,es ESP,GK,36.0,1,1,90,0,0
2012-2013,Carles Planas,es ESP,DF,21.0,1,1,90,0,0
2012-2013,Sergi Roberto,es ESP,"DF,MF",20.0,1,1,90,0,0
2012-2013,Rafinha,br BRA,MF,19.0,1,1,58,0,0
2012-2013,Gerard Deulofeu,es ESP,"FW,MF",18.0,2,0,17,0,0
2013-2014,Lionel Messi,ar ARG,"FW,MF",26.0,7,7,630,8,0
2013-2014,Neymar,br BRA,"FW,MF",21.0,10,9,776,4,3
2013-2014,Gerard Piqué,es ESP,DF,26.0,9,9,722,2,0
2013-2014,Dani Alves,br BRA,"DF,MF",30.0,8,8,720,2,0
2013-2014,Xavi,es ESP,MF,33.0,10,9,811,1,3
2013-2014,Sergio Busquets,es ESP,MF,25.0,9,9,793,1,1
2013-2014,Cesc Fàbregas,es ESP,"FW,MF",26.0,9,7,560,1,2
2013-2014,Pedro,es ESP,"FW,MF",26.0,7,3,304,1,0
2013-2014,Cristian Tello,es ESP,"FW,MF",21.0,2,0,39,1,0
2013-2014,Javier Mascherano,ar ARG,"DF,MF",29.0,9,9,810,0,0
2013-2014,Andrés Iniesta,es ESP,MF,29.0,9,9,779,0,3
2013-2014,Víctor Valdés,es ESP,GK,31.0,6,6,540,0,0
2013-2014,Alexis Sánchez,cl CHI,"FW,MF",24.0,9,5,467,0,2
2013-2014,Adriano,br BRA,"DF,MF",28.0,5,5,450,0,1
2013-2014,Jordi Alba,es ESP,"DF,MF",24.0,4,4,360,0,0
2013-2014,José Manuel Pinto,es ESP,GK,37.0,4,4,360,0,0
2013-2014,Marc Bartra,es ESP,DF,22.0,4,2,268,0,0
2013-2014,Martín Montoya,es ESP,DF,22.0,2,2,180,0,1
2013-2014,Sergi Roberto,es ESP,"DF,MF",21.0,4,1,114,0,0
2013-2014,Alexandre Song,cm CMR,"DF,MF",25.0,4,1,110,0,0
2013-2014,Carles Puyol,es ESP,DF,35.0,1,1,68,0,0
