season,player,nation,pos,age,mp,starts,min,goals,assists
2019-2020,Neto,br BRA,GK,30.0,1,1,90,0,0
2019-2020,Jean-Clair Todibo,fr FRA,DF,19.0,1,1,90,0,0
2019-2020,Monchu,es ESP,MF,19.0,1,0,7,0,0
2019-2020,Sergio Akieme,es ESP,DF,21.0,0,0,0,0,0
2019-2020,Ronald Araújo,uy URU,DF,20.0,0,0,0,0,0
2019-2020,Konrad De La Fuente,us USA,FW,18.0,0,0,0,0,0
2019-2020,Óscar Mingueza,es ESP,"DF,MF",20.0,0,0,0,0,0
2019-2020,Dani Morer,es ESP,DF,21.0,0,0,0,0,0
2019-2020,Jandro Orellana,es ESP,MF,18.0,0,0,0,0,0
2019-2020,Iñaki Peña,es ESP,GK,20.0,0,0,0,0,0
2019-2020,Riqui Puig,es ESP,MF,19.0,0,0,0,0,0
2019-2020,Ludovit Reis,nl NED,MF,19.0,0,0,0,0,0
2020-2021,Lionel Messi,ar ARG,"MF,FW",33.0,6,6,540,5,2
2020-2021,Ousmane Dembélé,fr FRA,"MF,FW",23.0,6,4,382,3,2
2020-2021,Martin Braithwaite,dk DEN,FW,29.0,6,2,233,3,1
2020-2021,Antoine Griezmann,fr FRA,"FW,MF",29.0,7,6,501,2,0
2020-2021,Sergiño Dest,us USA,"DF,MF",19.0,7,7,585,1,0
2020-2021,Pedri,es ESP,MF,17.0,7,6,491,1,1
2020-2021,Gerard Piqué,es ESP,DF,33.0,3,3,235,1,0
2020-2021,Ansu Fati,es ESP,MF,17.0,3,2,160,1,2
2020-2021,Philippe Coutinho,br BRA,MF,28.0,2,2,133,1,0
2020-2021,Clément Lenglet,fr FRA,DF,25.0,8,7,559,0,0
2020-2021,Frenkie de Jong,nl NED,"MF,DF",23.0,7,6,585,0,1
2020-2021,Miralem Pjanić,ba BIH,MF,30.0,8,6,492,0,0
2020-2021,Jordi Alba,es ESP,"DF,MF",31.0,7,6,485,0,2
2020-2021,Marc-André ter Stegen,de GER,GK,28.0,5,5,450,0,0
2020-2021,Sergio Busquets,es ESP,MF,32.0,6,4,334,0,0
2020-2021,Francisco Trincão,pt POR,MF,20.0,7,4,334,0,0
2020-2021,Neto,br BRA,GK,31.0,3,3,270,0,0
2020-2021,Óscar Mingueza,es ESP,DF,21.0,5,3,243,0,1
2020-2021,Sergi Roberto,es ESP,DF,28.0,3,2,182,0,0
2020-2021,Ronald Araújo,uy URU,DF,21.0,3,2,147,0,0
2020-2021,Junior Firpo,do DOM,DF,23.0,6,1,258,0,0
2020-2021,Carles Aleñá,es ESP,MF,22.0,3,1,124,0,0
2020-2021,Riqui Puig,es ESP,MF,20.0,4,0,89,0,0
2020-2021,Samuel Umtiti,fr FRA,DF,26.0,1,0,36,0,0
2020-2021,Konrad De La Fuente,us USA,FW,19.0,2,0,19,0,0
2020-2021,Matheus Fernandes,br BRA,MF,22.0,1,0,18,0,0
2020-2021,Ilaix Moriba,gn GUI,MF,17.0,1,0,12,0,0
2020-2021,Iñaki Peña,es ESP,GK,21.0,0,0,0,0,0
2020-2021,Arnau Tenas,es ESP,GK,19.0,0,0,0,0,0
2021-2022,Gerard Piqué,es ESP,DF,34.0,5,5,392,1,0
2021-2022,Ansu Fati,es ESP,FW,18.0,3,1,154,1,0
2021-2022,Marc-André ter Stegen,de GER,GK,29.0,6,6,540,0,0
2021-2022,Memphis,nl NED,FW,27.0,6,6,524,0,0
2021-2022,Frenkie de Jong,nl NED,MF,24.0,6,6,522,0,0
2021-2022,Sergio Busquets,es ESP,MF,33.0,6,6,485,0,0
2021-2022,Jordi Alba,es ESP,"DF,MF",32.0,5,5,373,0,1
2021-2022,Gavi,es ESP,"MF,FW",16.0,6,4,397,0,0
2021-2022,Ronald Araújo,uy URU,DF,22.0,5,4,367,0,0
2021-2022,Clément Lenglet,fr FRA,DF,26.0,4,4,343,0,0
2021-2022,Eric García,es ESP,DF,20.0,4,3,246,0,0
2021-2022,Sergiño Dest,us USA,"FW,MF",20.0,4,3,230,0,0
2021-2022,Luuk de Jong,nl NED,FW,30.0,3,3,177,0,0
2021-2022,Nicolás González,es ESP,MF,19.0,4,2,248,0,0
2021-2022,Óscar Mingueza,es ESP,DF,22.0,5,2,222,0,0
2021-2022,Sergi Roberto,es ESP,MF,29.0,3,2,168,0,0
2021-2022,Pedri,es ESP,MF,18.0,2,2,157,0,0
2021-2022,Ousmane Dembélé,fr FRA,FW,24.0,3,1,123,0,0
2021-2022,Yusuf Demir,at AUT,FW,18.0,3,1,102,0,0
2021-2022,Philippe Coutinho,br BRA,"FW,MF",29.0,4,0,111,0,0
2021-2022,Alejandro Balde,es ESP,DF,17.0,2,0,21,0,0
2021-2022,Riqui Puig,es ESP,MF,21.0,1,0,18,0,0
2021-2022,Sergio Agüero,ar ARG,FW,33.0,1,0,16,0,0
2021-2022,Ilias Akhomach,ma MAR,MF,17.0,0,0,0,0,0
2021-2022,Neto,br BRA,GK,32.0,0,0,0,0,0
2021-2022,Iñaki Peña,es ESP,GK,22.0,0,0,0,0,0
2021-2022,Alvaro Sanz,es ESP,MF,20.0,0,0,0,0,0
2021-2022,Samuel Umtiti,fr FRA,DF,27.0,0,0,0,0,0
2022-2023,Robert Lewandowski,pl POL,FW,33.0,5,5,441,5,0
2022-2023,Ferrán Torres,es ESP,FW,22.0,5,1,188,3,1
2022-2023,Ousmane Dembélé,fr FRA,FW,25.0,6,5,413,1,2
2022-2023,Marcos Alonso,es ESP,DF,31.0,5,5,403,1,0
2022-2023,Franck Kessié,ci CIV,MF,25.0,6,3,274,1,0
2022-2023,Pablo Torre,es ESP,MF,19.0,3,1,95,1,0
2022-2023,Marc-André ter Stegen,de GER,GK,30.0,5,5,450,0,0
2022-2023,Pedri,es ESP,"MF,FW",19.0,5,5,401,0,0
2022-2023,Gavi,es ESP,MF,17.0,5,4,329,0,0
2022-2023,Raphinha,br BRA,FW,25.0,5,4,294,0,2
2022-2023,Sergio Busquets,es ESP,MF,34.0,4,4,289,0,0
2022-2023,Jules Koundé,fr FRA,DF,23.0,3,3,246,0,1
2022-2023,Andreas Christensen,dk DEN,DF,26.0,3,3,216,0,0
2022-2023,Sergi Roberto,es ESP,DF,30.0,3,3,206,0,2
2022-2023,Gerard Piqué,es ESP,DF,35.0,4,2,258,0,0
2022-2023,Ansu Fati,es ESP,FW,19.0,6,2,244,0,1
2022-2023,Frenkie de Jong,nl NED,MF,25.0,4,2,237,0,0
2022-2023,Eric García,es ESP,DF,21.0,4,2,225,0,0
2022-2023,Héctor Bellerín,es ESP,DF,27.0,2,2,180,0,0
2022-2023,Jordi Alba,es ESP,DF,33.0,2,2,146,0,1
2022-2023,Alejandro Balde,es ESP,DF,18.0,4,1,171,0,0
2022-2023,Ronald Araújo,uy URU,DF,23.0,1,1,90,0,0
2022-2023,Iñaki Peña,es ESP,GK,23.0,1,1,90,0,0
2022-2023,Marc Casado,es ESP,MF,18.0,1,0,24,0,0
2022-2023,Memphis,nl NED,"FW,MF",28.0,1,0,16,0,0
2022-2023,Alvaro Sanz,es ESP,MF,21.0,1,0,14,0,0
2022-2023,Ilias Akhomach,ma MAR,MF,18.0,0,0,0,0,0
2022-2023,Arnau Tenas,es ESP,GK,21.0,0,0,0,0,0
2022-2023,Álex Valle,es ESP,DF,18.0,0,0,0,0,0
2023-2024,Robert Lewandowski,pl POL,FW,34.0,9,9,734,3,1
2023-2024,Raphinha,br BRA,"FW,MF",26.0,7,6,470,3,2
2023-2024,João Félix,pt POR,FW,23.0,9,4,369,3,1
2023-2024,Ferrán Torres,es ESP,FW,23.0,8,3,378,3,1
2023-2024,João Cancelo,pt POR,DF,29.0,10,9,808,2,1
2023-2024,Fermin López,es ESP,MF,20.0,8,3,278,2,1
2023-2024,Andreas Christensen,dk DEN,"DF,MF",27.0,7,5,439,1,0
2023-2024,Gavi,es ESP,MF,18.0,3,3,226,1,0
2023-2024,Marc Guiu,es ESP,FW,17.0,2,0,35,1,0
2023-2024,İlkay Gündoğan,de GER,MF,32.0,10,9,836,0,4
2023-2024,Jules Koundé,fr FRA,DF,24.0,8,8,720,0,0
2023-2024,Marc-André ter Stegen,de GER,GK,31.0,8,8,720,0,0
2023-2024,Ronald Araújo,uy URU,DF,24.0,8,8,658,0,0
2023-2024,Lamine Yamal,es ESP,"FW,MF",16.0,10,7,577,0,2
2023-2024,Frenkie de Jong,nl NED,MF,26.0,5,5,393,0,0
2023-2024,Oriol Romeu,es ESP,MF,31.0,7,4,343,0,0
2023-2024,Alejandro Balde,es ESP,DF,19.0,6,3,331,0,0
2023-2024,Pedri,es ESP,"MF,FW",20.0,6,3,329,0,3
2023-2024,Iñigo Martínez,es ESP,DF,32.0,4,3,318,0,0
2023-2024,Pau Cubarsí,es ESP,DF,16.0,3,3,270,0,0
2023-2024,Sergi Roberto,es ESP,MF,31.0,5,2,203,0,1
2023-2024,Iñaki Peña,es ESP,GK,24.0,2,2,180,0,0
2023-2024,Marcos Alonso,es ESP,DF,32.0,3,2,139,0,0
2023-2024,Héctor Fort,es ESP,DF,16.0,1,1,59,0,0
2023-2024,Marc Casado,es ESP,MF,19.0,2,0,24,0,0
2023-2024,Ángel Alarcón,es ESP,FW,19.0,0,0,0,0,0
2023-2024,Ander Astralaga,es ESP,GK,19.0,0,0,0,0,0
2023-2024,Aleix Garrido,es ESP,MF,19.0,0,0,0,0,0
2023-2024,Unai Hernandez,es ESP,MF,18.0,0,0,0,0,0
2023-2024,Diego Kochen,us USA,GK,17.0,0,0,0,0,0
2023-2024,Vitor Roque,br BRA,FW,18.0,0,0,0,0,0
2024-2025,Raphinha,br BRA,MF,27.0,14,14,1222,13,8
2024-2025,Robert Lewandowski,pl POL,FW,35.0,13,12,975,11,0
2024-2025,Lamine Yamal,es ESP,MF,17.0,13,13,1094,5,3
2024-2025,Ferrán Torres,es ESP,FW,24.0,11,3,426,3,1
2024-2025,Iñigo Martínez,es ESP,DF,33.0,11,11,954,2,1
2024-2025,Dani Olmo,es ESP,MF,26.0,9,6,435,2,1
2024-2025,Eric García,es ESP,"DF,MF",23.0,9,3,276,2,0
2024-2025,Ronald Araújo,uy URU,DF,25.0,8,4,523,1,0
2024-2025,Fermin López,es ESP,MF,21.0,11,4,453,1,3
2024-2025,Pedri,es ESP,MF,21.0,14,13,1109,0,2
2024-2025,Jules Koundé,fr FRA,DF,25.0,13,13,1104,0,3
2024-2025,Pau Cubarsí,es ESP,DF,17.0,13,12,977,0,1
2024-2025,Alejandro Balde,es ESP,DF,20.0,10,9,803,0,2
2024-2025,Frenkie de Jong,nl NED,MF,27.0,13,8,804,0,0
2024-2025,Wojciech Szczęsny,pl POL,GK,34.0,8,8,750,0,0
2024-2025,Marc Casado,es ESP,MF,20.0,10,7,633,0,2
2024-2025,Iñaki Peña,es ESP,GK,25.0,5,5,450,0,0
2024-2025,Gerard Martín,es ESP,DF,22.0,8,5,446,0,3
2024-2025,Gavi,es ESP,MF,19.0,10,3,301,0,0
2024-2025,Marc-André ter Stegen,de GER,GK,32.0,1,1,90,0,0
2024-2025,Pau Victor,es ESP,FW,22.0,6,0,53,0,0
2024-2025,Héctor Fort,es ESP,DF,17.0,2,0,50,0,0
2024-2025,Ansu Fati,es ESP,"FW,MF",21.0,4,0,41,0,0
2024-2025,Sergi Dominguez,es ESP,DF,19.0,2,0,35,0,0
2024-2025,Pablo Torre,es ESP,MF,21.0,2,0,21,0,0
2024-2025,Andreas Christensen,dk DEN,"DF,MF",28.0,1,0,8,0,0
2024-2025,Andres Cuenca,es ESP,DF,17.0,1,0,7,0,0
2024-2025,Ander Astralaga,es ESP,GK,20.0,0,0,0,0,0
2024-2025,Noah Darvich,de GER,MF,17.0,0,0,0,0,0
2024-2025,Landry Farré,es ESP,DF,17.0,0,0,0,0,0
2024-2025,Guillermo Fernandez,es ESP,MF,16.0,0,0,0,0,0
2024-2025,Toni Fernández,es ESP,MF,16.0,0,0,0,0,0
2024-2025,Diego Kochen,us USA,GK,18.0,0,0,0,0,0
2024-2025,Áron Yaakobishvili,hu HUN,GK,18.0,0,0,0,0,0
